TimeString,X,Y,Z,Speed,BatteryStatus,Node,Edge
00:00:05,-86.20871,-68.56147,-6.83498,2,0.8487197,Node (6),Edge (10)
00:00:10,-46.51792,-119.4327,-46.63648,2,0.6913974,Node (6),Edge (10)
00:00:15,-38.53488,-131.7329,-54.52648,2,0.5381324,Node (6),Edge (10)
00:00:20,-38.61236,-131.6136,-54.44994,2,0.3870496,Node (6),Edge (10)
00:00:25,-31.47162,-136.1,-55.8834,2,0.420906,Node (2),-
00:00:30,-31.47162,-136.1,-55.8834,2,0.4718957,Node (2),-
00:00:35,-31.47162,-136.1,-55.8834,2,0.5237383,Node (2),-
00:00:40,-31.47162,-136.1,-55.8834,2,0.5746467,Node (2),-
00:00:46,-31.47162,-136.1,-55.8834,2,0.6263871,Node (2),-
00:00:51,-31.47162,-136.1,-55.8834,2,0.6769128,Node (2),-
00:00:56,-31.47162,-136.1,-55.8834,2,0.7286565,Node (2),-
00:01:01,-31.47162,-136.1,-55.8834,2,0.7808217,Node (2),-
00:01:06,-31.47162,-136.1,-55.8834,2,0.8310622,Node (2),-
00:01:11,-31.47162,-136.1,-55.8834,2,0.8832385,Node (2),-
00:01:16,-31.47162,-136.1,-55.8834,2,0.9335549,Node (2),-
00:01:21,-31.47162,-136.1,-55.8834,2,0.9838895,Node (2),-
00:01:27,3.00076,-128.9397,-52.75088,2,0.9348299,Node (2),Edge (2)
00:01:32,65.3888,-123.3512,-43.95918,2,0.8327678,Node (2),Edge (2)
00:01:37,126.534,-166.7143,-26.19277,2,0.7300517,Node (2),Edge (2)
00:01:42,145.3018,-178.0916,-16.57415,2,0.6297072,Node (2),Edge (2)
00:01:47,139.614,-175.9905,-22.3922,2,0.525564,Node (2),Edge (2)
00:01:52,144.9043,-177.8097,-16.68966,2,0.4214674,Node (2),Edge (2)
00:01:57,140.1801,-176.392,-22.22771,2,0.320157,Node (2),Edge (2)
00:02:02,141.0374,-179.2,-21.9786,2,0.2157871,Node (3),-
00:02:08,141.0374,-179.2,-21.9786,2,0.3183645,Node (3),-
00:02:13,141.0374,-179.2,-21.9786,2,0.4200228,Node (3),-
00:02:18,141.0374,-179.2,-21.9786,2,0.5238572,Node (3),-
00:02:23,141.0374,-179.2,-21.9786,2,0.6262516,Node (3),-
00:02:28,141.0374,-179.2,-21.9786,2,0.7271652,Node (3),-
00:02:33,141.0374,-179.2,-21.9786,2,0.8278834,Node (3),-
00:02:38,141.0374,-179.2,-21.9786,2,0.9283156,Node (3),-
00:02:43,148.8224,-164.5805,-18.81276,2,0.9888442,Node (3),Edge (9)
00:02:48,182.6968,-97.9218,-3.627654,2,0.9379784,Node (3),Edge (9)
00:02:53,187.685,-92.06889,2.991925,2,0.8878554,Node (3),Edge (9)
00:02:58,187.4825,-92.46721,2.901201,2,0.8369399,Node (3),Edge (9)
00:03:04,183.7927,-95.76545,-3.136448,2,0.7848688,Node (3),Edge (9)
