TimeString,X,Y,Z,Speed,BatteryStatus,Node,Edge
00:00:05,-83.38164,-68.56147,-6.922658,2,0.8487197,Node (6),Edge (10)
00:00:10,-43.68954,-119.4327,-46.6199,2,0.6913974,Node (6),Edge (10)
00:00:15,-35.7065,-131.7329,-54.5099,2,0.5381324,Node (6),Edge (10)
00:00:20,-35.78398,-131.6136,-54.43334,2,0.3870496,Node (6),Edge (10)
00:00:25,-34.3,-136.1,-55.9,2,0.4225468,Node (2),-
00:00:30,-34.3,-136.1,-55.9,2,0.4741226,Node (2),-
00:00:35,-34.3,-136.1,-55.9,2,0.5263214,Node (2),-
00:00:40,-34.3,-136.1,-55.9,2,0.5769614,Node (2),-
00:00:46,-34.3,-136.1,-55.9,2,0.6285321,Node (2),-
00:00:51,-34.3,-136.1,-55.9,2,0.6795922,Node (2),-
00:00:56,-34.3,-136.1,-55.9,2,0.7310707,Node (2),-
00:01:01,-34.3,-136.1,-55.9,2,0.7827987,Node (2),-
00:01:06,-34.3,-136.1,-55.9,2,0.8335281,Node (2),-
00:01:11,-34.3,-136.1,-55.9,2,0.8855258,Node (2),-
00:01:16,-34.3,-136.1,-55.9,2,0.9356058,Node (2),-
00:01:21,-34.3,-136.1,-55.9,2,0.985938,Node (2),-
00:01:27,4.707346,-128.9397,-50.49532,2,0.9331859,Node (2),Edge (2)
00:01:32,66.75133,-123.3512,-41.48057,2,0.8312404,Node (2),Edge (2)
00:01:37,127.8965,-166.7143,-23.71416,2,0.7286039,Node (2),Edge (2)
00:01:42,143.9393,-178.0916,-19.05276,2,0.628161,Node (2),Edge (2)
00:01:47,140.9765,-175.9905,-19.9136,2,0.5238129,Node (2),Edge (2)
00:01:52,143.5417,-177.8097,-19.16827,2,0.4197956,Node (2),Edge (2)
00:01:57,141.5426,-176.392,-19.74911,2,0.3182588,Node (2),Edge (2)
00:02:02,142.4,-179.2,-19.5,2,0.2201141,Node (3),-
00:02:08,142.4,-179.2,-19.5,2,0.3184797,Node (3),-
00:02:13,142.4,-179.2,-19.5,2,0.4205275,Node (3),-
00:02:18,142.4,-179.2,-19.5,2,0.5245621,Node (3),-
00:02:23,142.4,-179.2,-19.5,2,0.6268821,Node (3),-
00:02:28,142.4,-179.2,-19.5,2,0.7275925,Node (3),-
00:02:33,142.4,-179.2,-19.5,2,0.8283681,Node (3),-
00:02:38,142.4,-179.2,-19.5,2,0.9283737,Node (3),-
00:02:43,149.8293,-164.5805,-16.16962,2,0.9841383,Node (3),Edge (9)
00:02:48,183.7038,-97.9218,-0.9845231,2,0.9332585,Node (3),Edge (9)
00:02:53,186.6781,-92.06889,0.3487938,2,0.8831217,Node (3),Edge (9)
00:02:58,186.4756,-92.46721,0.2580547,2,0.8320011,Node (3),Edge (9)
00:03:04,184.7996,-95.76545,-0.4933033,2,0.7803405,Node (3),Edge (9)
