TimeString,X,Y,Z,Speed,BatteryStatus
00:00:05,-82.44523,-68.44613,-7.919,2,0.8459759
00:00:10,-44.719,-117.8465,-45.60243,2,0.695594
00:00:15,18.54539,-127.1801,-48.57798,2,0.5440915
00:00:20,76.58303,-130.3237,-38.62386,2,0.3936613
00:00:25,136.579,-172.8719,-21.19135,2,0.2424826
00:00:30,142.4,-179.2,-19.5,2,0.2706485
00:00:35,142.4,-179.2,-19.5,2,0.3206556
00:00:40,142.4,-179.2,-19.5,2,0.3708057
00:00:45,142.4,-179.2,-19.5,2,0.420846
00:00:50,142.4,-179.2,-19.5,2,0.470909
00:00:55,142.4,-179.2,-19.5,2,0.5216641
00:01:00,142.4,-179.2,-19.5,2,0.5718203
00:01:05,142.4,-179.2,-19.5,2,0.6221578
00:01:10,142.4,-179.2,-19.5,2,0.6725817
00:01:15,142.4,-179.2,-19.5,2,0.7224559
00:01:20,142.4,-179.2,-19.5,2,0.7729758
00:01:25,142.4,-179.2,-19.5,2,0.8233012
00:01:30,142.4,-179.2,-19.5,2,0.8878108
00:01:35,142.4,-179.2,-19.5,2,0.92365
00:01:40,142.4,-179.2,-19.5,2,0.9735345
00:01:45,154.0487,-156.2775,-14.27817,2,0.9656646
00:01:50,189.5696,-94.23558,1.672154,2,0.8637608
