TimeString,X,Y,Z,Speed,BatteryStatus,Node,Edge
00:00:05,-117.3345,-48.52166,107.0353,2,0.8498063,Node (7),Edge (13)
00:00:10,-42.35553,-52.53938,110.7289,2,0.6994517,Node (7),Edge (13)
00:00:15,32.47078,-56.54888,114.415,2,0.5494028,Node (7),Edge (13)
00:00:20,107.4196,-60.56499,118.1073,2,0.3991084,Node (7),Edge (13)
00:00:25,117.404,-63.3,118.5992,2,0.4232609,Node (1),-
00:00:30,117.404,-63.3,118.5992,2,0.4740587,Node (1),-
00:00:35,117.404,-63.3,118.5992,2,0.5245824,Node (1),-
00:00:40,117.404,-63.3,118.5992,2,0.5754651,Node (1),-
00:00:45,117.404,-63.3,118.5992,2,0.6268387,Node (1),-
00:00:50,117.404,-63.3,118.5992,2,0.6784245,Node (1),-
00:00:55,117.404,-63.3,118.5992,2,0.7305377,Node (1),-
00:01:00,117.404,-63.3,118.5992,2,0.7814361,Node (1),-
00:01:05,117.404,-63.3,118.5992,2,0.8320568,Node (1),-
00:01:10,117.404,-63.3,118.5992,2,0.8839667,Node (1),-
00:01:16,117.404,-63.3,118.5992,2,0.9384181,Node (1),-
00:01:21,117.404,-63.3,118.5992,2,0.9896068,Node (1),-
00:01:26,160.6153,-59.10445,91.50501,2,0.9300364,Node (1),Edge (8)
00:01:31,214.77,-85.31185,48.38993,2,0.8295338,Node (1),Edge (8)
