TimeString,X,Y,Z,Speed,BatteryStatus,Node,Edge
00:00:05,-117.1376,-48.52166,103.0401,2,0.8498063,Node (7),Edge (13)
00:00:10,-42.15871,-52.53938,106.7338,2,0.6994517,Node (7),Edge (13)
00:00:15,32.66759,-56.54888,110.4199,2,0.5494028,Node (7),Edge (13)
00:00:20,107.6164,-60.56499,114.1121,2,0.3991084,Node (7),Edge (13)
00:00:25,117.6008,-63.3,114.604,2,0.4223269,Node (1),-
00:00:30,117.6008,-63.3,114.604,2,0.4729923,Node (1),-
00:00:35,117.6008,-63.3,114.604,2,0.5235369,Node (1),-
00:00:40,117.6008,-63.3,114.604,2,0.5736633,Node (1),-
00:00:45,117.6008,-63.3,114.604,2,0.625069,Node (1),-
00:00:50,117.6008,-63.3,114.604,2,0.6767197,Node (1),-
00:00:55,117.6008,-63.3,114.604,2,0.728587,Node (1),-
00:01:00,117.6008,-63.3,114.604,2,0.7795002,Node (1),-
00:01:05,117.6008,-63.3,114.604,2,0.8301377,Node (1),-
00:01:10,117.6008,-63.3,114.604,2,0.8810661,Node (1),-
00:01:16,117.6008,-63.3,114.604,2,0.9344758,Node (1),-
00:01:21,117.6008,-63.3,114.604,2,0.9851246,Node (1),-
00:01:26,158.3857,-59.10445,88.18405,2,0.9328606,Node (1),Edge (8)
00:01:31,212.1763,-85.31185,45.34481,2,0.8326128,Node (1),Edge (8)
