TimeString,X,Y,Z,Speed,BatteryStatus,Node,Edge
00:00:05,-115.2385,-48.52166,105.1361,2,0.8498063,Node (7),Edge (13)
00:00:10,-40.25954,-52.53938,108.8298,2,0.6994517,Node (7),Edge (13)
00:00:15,34.56676,-56.54888,112.5159,2,0.5494028,Node (7),Edge (13)
00:00:20,109.5156,-60.56499,116.2081,2,0.3991084,Node (7),Edge (13)
00:00:25,119.5,-63.3,116.7,2,0.4232609,Node (1),-
00:00:30,119.5,-63.3,116.7,2,0.4740587,Node (1),-
00:00:35,119.5,-63.3,116.7,2,0.5245824,Node (1),-
00:00:40,119.5,-63.3,116.7,2,0.5754651,Node (1),-
00:00:45,119.5,-63.3,116.7,2,0.6268387,Node (1),-
00:00:50,119.5,-63.3,116.7,2,0.6784245,Node (1),-
00:00:55,119.5,-63.3,116.7,2,0.7305377,Node (1),-
00:01:00,119.5,-63.3,116.7,2,0.7814361,Node (1),-
00:01:05,119.5,-63.3,116.7,2,0.8320568,Node (1),-
00:01:10,119.5,-63.3,116.7,2,0.8839667,Node (1),-
00:01:16,119.5,-63.3,116.7,2,0.9384181,Node (1),-
00:01:21,119.5,-63.3,116.7,2,0.9896068,Node (1),-
00:01:26,161.161,-59.10445,88.72972,2,0.9300364,Node (1),Edge (8)
00:01:31,214.9957,-85.31185,45.57052,2,0.8295338,Node (1),Edge (8)
