TimeString,X,Y,Z,Speed,BatteryStatus,Node,Edge
00:00:05,-84.41474,-68.3405,-8.743771,2,0.8434625,Node (6),Edge (10)
00:00:10,-66.84686,-88.10999,-26.54447,2,0.6918162,Node (6),Edge (10)
00:00:15,-23.39161,-132.2959,-56.40769,2,0.5343025,Node (2),Edge (2)
00:00:20,52.88282,-122.5967,-45.83945,2,0.3790794,Node (2),Edge (2)
00:00:25,117.3432,-160.1964,-28.86324,2,0.2223726,Node (2),Edge (2)
00:00:31,141.0375,-179.2,-21.97862,2,0.1535153,Node (3),-
00:00:36,141.0375,-179.2,-21.97862,2,0.2046959,Node (3),-
00:00:41,141.0375,-179.2,-21.97862,2,0.2558462,Node (3),-
00:00:46,141.0375,-179.2,-21.97862,2,0.3061389,Node (3),-
00:00:51,141.0375,-179.2,-21.97862,2,0.3567906,Node (3),-
00:00:56,141.0375,-179.2,-21.97862,2,0.4078731,Node (3),-
00:01:01,141.0375,-179.2,-21.97862,2,0.4581734,Node (3),-
00:01:06,141.0375,-179.2,-21.97862,2,0.5092555,Node (3),-
00:01:11,141.0375,-179.2,-21.97862,2,0.5601842,Node (3),-
00:01:16,141.0375,-179.2,-21.97862,2,0.6105658,Node (3),-
00:01:21,141.0375,-179.2,-21.97862,2,0.6608275,Node (3),-
00:01:26,141.0375,-179.2,-21.97862,2,0.7110739,Node (3),-
00:01:32,141.0375,-179.2,-21.97862,2,0.762832,Node (3),-
00:01:37,141.0375,-179.2,-21.97862,2,0.8147765,Node (3),-
00:01:42,141.0375,-179.2,-21.97862,2,0.8657969,Node (3),-
00:01:47,141.0375,-179.2,-21.97862,2,0.9177926,Node (3),-
00:01:52,141.0375,-179.2,-21.97862,2,0.971106,Node (3),-
00:01:58,154.6507,-153.1114,-16.20005,2,0.9601848,Node (3),Edge (9)
00:02:03,183.7585,-95.83253,-3.151705,2,0.8594334,Node (3),Edge (9)
00:02:08,229.6522,-101.3495,17.73904,2,0.7549461,Node (3),Edge (9)
