TimeString,X,Y,Z,Speed,BatteryStatus,Node,Edge
00:00:05,-81.5,-68.3405,-6.004382,2,0.8434625,Node (6),Edge (10)
00:00:10,-64.03506,-88.10999,-23.69951,2,0.6918162,Node (6),Edge (10)
00:00:15,-23.94059,-132.2959,-52.44555,2,0.5343025,Node (2),Edge (2)
00:00:20,52.33384,-122.5967,-41.8773,2,0.3790794,Node (2),Edge (2)
00:00:25,116.2271,-160.1964,-25.0221,2,0.2223726,Node (2),Edge (2)
00:00:31,139.9214,-179.2,-18.13748,2,0.155623,Node (3),-
00:00:36,139.9214,-179.2,-18.13748,2,0.2067394,Node (3),-
00:00:41,139.9214,-179.2,-18.13748,2,0.2578367,Node (3),-
00:00:46,139.9214,-179.2,-18.13748,2,0.3075785,Node (3),-
00:00:51,139.9214,-179.2,-18.13748,2,0.358378,Node (3),-
00:00:56,139.9214,-179.2,-18.13748,2,0.40931,Node (3),-
00:01:01,139.9214,-179.2,-18.13748,2,0.4593942,Node (3),-
00:01:06,139.9214,-179.2,-18.13748,2,0.5102859,Node (3),-
00:01:11,139.9214,-179.2,-18.13748,2,0.5612224,Node (3),-
00:01:16,139.9214,-179.2,-18.13748,2,0.6115984,Node (3),-
00:01:21,139.9214,-179.2,-18.13748,2,0.662195,Node (3),-
00:01:26,139.9214,-179.2,-18.13748,2,0.7126106,Node (3),-
00:01:32,139.9214,-179.2,-18.13748,2,0.7649723,Node (3),-
00:01:37,139.9214,-179.2,-18.13748,2,0.8168954,Node (3),-
00:01:42,139.9214,-179.2,-18.13748,2,0.8684418,Node (3),-
00:01:47,139.9214,-179.2,-18.13748,2,0.9206566,Node (3),-
00:01:52,139.9214,-179.2,-18.13748,2,0.9743411,Node (3),-
00:01:58,153.0145,-153.1114,-12.55001,2,0.9579142,Node (3),Edge (9)
00:02:03,182.1223,-95.83253,0.49834,2,0.8572313,Node (3),Edge (9)
00:02:08,227.9936,-101.3495,21.37895,2,0.7527344,Node (3),Edge (9)
