TimeString,X,Y,Z,Speed,BatteryStatus,Node,Edge
00:00:05,-83.14731,-68.54341,-4.251624,2,0.8482903,Node (6),Edge (10)
00:00:10,-44.04174,-118.9155,-43.45981,2,0.6936831,Node (6),Edge (10)
00:00:15,17.4339,-127.0346,-46.71288,2,0.5379625,Node (2),Edge (2)
00:00:20,86.33948,-139.0006,-33.7063,2,0.384886,Node (2),Edge (2)
00:00:25,144.8786,-179.2,-20.86253,2,0.2503029,Node (3),-
00:00:30,144.8786,-179.2,-20.86253,2,0.3012641,Node (3),-
00:00:35,144.8786,-179.2,-20.86253,2,0.3516998,Node (3),-
00:00:40,144.8786,-179.2,-20.86253,2,0.4024437,Node (3),-
00:00:45,144.8786,-179.2,-20.86253,2,0.4544212,Node (3),-
00:00:51,144.8786,-179.2,-20.86253,2,0.5052955,Node (3),-
00:00:56,144.8786,-179.2,-20.86253,2,0.5556216,Node (3),-
00:01:01,144.8786,-179.2,-20.86253,2,0.6060322,Node (3),-
00:01:06,144.8786,-179.2,-20.86253,2,0.6572706,Node (3),-
00:01:11,144.8786,-179.2,-20.86253,2,0.7081731,Node (3),-
00:01:16,144.8786,-179.2,-20.86253,2,0.758409,Node (3),-
00:01:21,144.8786,-179.2,-20.86253,2,0.8092856,Node (3),-
00:01:26,144.8786,-179.2,-20.86253,2,0.8605139,Node (3),-
00:01:31,144.8786,-179.2,-20.86253,2,0.9105871,Node (3),-
00:01:36,144.8786,-179.2,-20.86253,2,0.9605252,Node (3),-
00:01:41,145.5762,-167.7487,-15.88443,2,0.980211,Node (3),Edge (9)
00:01:46,179.1238,-101.7331,-0.8458439,2,0.8793951,Node (3),Edge (9)
