TimeString,X,Y,Z,Speed,BatteryStatus,Node,Edge
00:00:05,-83.23499,-68.54341,-7.078692,2,0.8482903,Node (6),Edge (10)
00:00:10,-44.02516,-118.9155,-46.28819,2,0.6936831,Node (6),Edge (10)
00:00:15,19.68946,-127.0346,-48.41946,2,0.5379625,Node (2),Edge (2)
00:00:20,88.81809,-139.0006,-35.06882,2,0.384886,Node (2),Edge (2)
00:00:25,142.4,-179.2,-19.5,2,0.2503029,Node (3),-
00:00:30,142.4,-179.2,-19.5,2,0.3012641,Node (3),-
00:00:35,142.4,-179.2,-19.5,2,0.3516998,Node (3),-
00:00:40,142.4,-179.2,-19.5,2,0.4024437,Node (3),-
00:00:45,142.4,-179.2,-19.5,2,0.4544212,Node (3),-
00:00:51,142.4,-179.2,-19.5,2,0.5052955,Node (3),-
00:00:56,142.4,-179.2,-19.5,2,0.5556216,Node (3),-
00:01:01,142.4,-179.2,-19.5,2,0.6060322,Node (3),-
00:01:06,142.4,-179.2,-19.5,2,0.6572706,Node (3),-
00:01:11,142.4,-179.2,-19.5,2,0.7081731,Node (3),-
00:01:16,142.4,-179.2,-19.5,2,0.758409,Node (3),-
00:01:21,142.4,-179.2,-19.5,2,0.8092856,Node (3),-
00:01:26,142.4,-179.2,-19.5,2,0.8605139,Node (3),-
00:01:31,142.4,-179.2,-19.5,2,0.9105871,Node (3),-
00:01:36,142.4,-179.2,-19.5,2,0.9605252,Node (3),-
00:01:41,148.2193,-167.7487,-16.89134,2,0.980211,Node (3),Edge (9)
00:01:46,181.7669,-101.7331,-1.852753,2,0.8793951,Node (3),Edge (9)
