TimeString,X,Y,Z,Speed,BatteryStatus,Node,Edge
00:00:05,-89.62209,-68.57677,-8.94784,2,0.8498857,Node (6),Edge (10)
00:00:10,-48.71886,-118.2845,-46.03791,2,0.6996828,Node (6),Edge (10)
00:00:15,17.36575,-127.1131,-50.76055,2,0.5490044,Node (2),Edge (2)
00:00:20,86.59283,-138.3888,-37.7981,2,0.3987979,Node (2),Edge (2)
00:00:25,141.0374,-179.2,-21.9786,2,0.2682106,Node (3),-
00:00:30,141.0374,-179.2,-21.9786,2,0.3183099,Node (3),-
00:00:35,141.0374,-179.2,-21.9786,2,0.3683256,Node (3),-
00:00:40,141.0374,-179.2,-21.9786,2,0.4184058,Node (3),-
00:00:45,141.0374,-179.2,-21.9786,2,0.4686645,Node (3),-
00:00:50,141.0374,-179.2,-21.9786,2,0.5189085,Node (3),-
00:00:55,141.0374,-179.2,-21.9786,2,0.5692622,Node (3),-
00:01:00,141.0374,-179.2,-21.9786,2,0.6195855,Node (3),-
00:01:05,141.0374,-179.2,-21.9786,2,0.6697162,Node (3),-
00:01:10,141.0374,-179.2,-21.9786,2,0.7198882,Node (3),-
00:01:15,141.0374,-179.2,-21.9786,2,0.7714006,Node (3),-
00:01:20,141.0374,-179.2,-21.9786,2,0.8215565,Node (3),-
00:01:25,141.0374,-179.2,-21.9786,2,0.8721672,Node (3),-
00:01:30,141.0374,-179.2,-21.9786,2,0.9225419,Node (3),-
00:01:35,141.0374,-179.2,-21.9786,2,0.9739856,Node (3),-
00:01:40,155.6299,-151.1846,-15.76113,2,0.9572443,Node (3),Edge (9)
00:01:45,188.2389,-90.97874,3.240268,2,0.8544672,Node (3),Edge (9)
