TimeString,X,Y,Z,Speed,BatteryStatus,Node,Edge
00:00:05,-86.80391,-68.57677,-9.1883,2,0.8498857,Node (6),Edge (10)
00:00:10,-45.89751,-118.2845,-45.83791,2,0.6996828,Node (6),Edge (10)
00:00:15,19.07233,-127.1131,-48.50499,2,0.5490044,Node (2),Edge (2)
00:00:20,87.95536,-138.3888,-35.31948,2,0.3987979,Node (2),Edge (2)
00:00:25,142.4,-179.2,-19.5,2,0.2682989,Node (3),-
00:00:30,142.4,-179.2,-19.5,2,0.3184026,Node (3),-
00:00:35,142.4,-179.2,-19.5,2,0.368406,Node (3),-
00:00:40,142.4,-179.2,-19.5,2,0.4185078,Node (3),-
00:00:45,142.4,-179.2,-19.5,2,0.4689509,Node (3),-
00:00:50,142.4,-179.2,-19.5,2,0.5193574,Node (3),-
00:00:55,142.4,-179.2,-19.5,2,0.5697631,Node (3),-
00:01:00,142.4,-179.2,-19.5,2,0.6198233,Node (3),-
00:01:05,142.4,-179.2,-19.5,2,0.6700693,Node (3),-
00:01:10,142.4,-179.2,-19.5,2,0.7214513,Node (3),-
00:01:15,142.4,-179.2,-19.5,2,0.7730037,Node (3),-
00:01:20,142.4,-179.2,-19.5,2,0.8229492,Node (3),-
00:01:25,142.4,-179.2,-19.5,2,0.8739782,Node (3),-
00:01:30,142.4,-179.2,-19.5,2,0.9241374,Node (3),-
00:01:35,142.4,-179.2,-19.5,2,0.9753591,Node (3),-
00:01:40,156.6368,-151.1846,-13.118,2,0.9554396,Node (3),Edge (9)
00:01:45,187.232,-90.97874,0.5971318,2,0.8531204,Node (3),Edge (9)
