TimeString,X,Y,Z,Speed,BatteryStatus,Node,Edge
00:00:05,-117.3538,-48.3425,108.1172,2,0.8495817,Node (7),Edge (13)
00:00:10,-42.44194,-52.41331,111.4649,2,0.6993876,Node (7),Edge (13)
00:00:15,32.51178,-56.48637,114.8145,2,0.5491098,Node (7),Edge (13)
00:00:20,107.8606,-60.58093,118.1818,2,0.3980394,Node (7),Edge (13)
00:00:25,117.4127,-63.3,118.6087,2,0.4226775,Node (1),-
00:00:30,117.4127,-63.3,118.6087,2,0.4731109,Node (1),-
00:00:35,117.4127,-63.3,118.6087,2,0.5230504,Node (1),-
00:00:40,117.4127,-63.3,118.6087,2,0.5749454,Node (1),-
00:00:45,117.4127,-63.3,118.6087,2,0.6270066,Node (1),-
00:00:50,117.4127,-63.3,118.6087,2,0.6788632,Node (1),-
00:00:55,117.4127,-63.3,118.6087,2,0.7309353,Node (1),-
00:01:00,117.4127,-63.3,118.6087,2,0.7843618,Node (1),-
00:01:05,117.4127,-63.3,118.6087,2,0.8347378,Node (1),-
00:01:11,117.4127,-63.3,118.6087,2,0.8873113,Node (1),-
00:01:16,117.4127,-63.3,118.6087,2,0.9406707,Node (1),-
00:01:21,117.4127,-63.3,118.6087,2,0.9918131,Node (1),-
00:01:26,162.7621,-58.88827,90.06371,2,0.9273252,Node (1),Edge (8)
00:01:31,216.2365,-86.3567,47.14083,2,0.8264798,Node (1),Edge (8)
