TimeString,X,Y,Z,Speed,BatteryStatus,Node,Edge
00:00:05,-117.1752,-48.3425,104.1212,2,0.8495817,Node (7),Edge (13)
00:00:10,-42.26336,-52.41331,107.4689,2,0.6993876,Node (7),Edge (13)
00:00:15,32.69036,-56.48637,110.8185,2,0.5491098,Node (7),Edge (13)
00:00:20,108.0392,-60.58093,114.1858,2,0.3980394,Node (7),Edge (13)
00:00:25,117.5913,-63.3,114.6127,2,0.4222845,Node (1),-
00:00:30,117.5913,-63.3,114.6127,2,0.4726495,Node (1),-
00:00:35,117.5913,-63.3,114.6127,2,0.5226898,Node (1),-
00:00:40,117.5913,-63.3,114.6127,2,0.5733938,Node (1),-
00:00:45,117.5913,-63.3,114.6127,2,0.6237997,Node (1),-
00:00:50,117.5913,-63.3,114.6127,2,0.675104,Node (1),-
00:00:55,117.5913,-63.3,114.6127,2,0.7278399,Node (1),-
00:01:00,117.5913,-63.3,114.6127,2,0.7803642,Node (1),-
00:01:05,117.5913,-63.3,114.6127,2,0.8311439,Node (1),-
00:01:11,117.5913,-63.3,114.6127,2,0.883939,Node (1),-
00:01:16,117.5913,-63.3,114.6127,2,0.937212,Node (1),-
00:01:21,117.5913,-63.3,114.6127,2,0.9883669,Node (1),-
00:01:26,160.5325,-58.88827,86.74275,2,0.9294009,Node (1),Edge (8)
00:01:31,213.6427,-86.3567,44.09571,2,0.8292827,Node (1),Edge (8)
