TimeString,X,Y,Z,Speed,BatteryStatus
00:00:05,-82.28566,-68.42647,-8.088776,2,0.8455081
00:00:10,-78.80762,-67.99804,-11.78947,2,0.6916776
00:00:15,-75.23631,-67.55811,-15.58939,2,0.538583
00:00:20,-76.36781,-67.69749,-14.38545,2,0.3835348
00:00:25,-45.63921,-116.4286,-44.69295,2,0.2326458
00:00:30,-34.3,-136.1,-55.9,2,0.1819531
00:00:35,-34.3,-136.1,-55.9,2,0.2340029
00:00:40,-34.3,-136.1,-55.9,2,0.2830541
00:00:45,-34.3,-136.1,-55.9,2,0.3344614
00:00:50,-34.3,-136.1,-55.9,2,0.384412
00:00:56,-34.3,-136.1,-55.9,2,0.4357769
00:01:01,-34.3,-136.1,-55.9,2,0.4893026
00:01:06,-34.3,-136.1,-55.9,2,0.5410595
00:01:11,-34.3,-136.1,-55.9,2,0.592371
00:01:16,-34.3,-136.1,-55.9,2,0.6434582
00:01:21,-34.3,-136.1,-55.9,2,0.6933365
00:01:26,-34.3,-136.1,-55.9,2,0.7445331
00:01:32,-34.3,-136.1,-55.9,2,0.7945014
00:01:37,-34.3,-136.1,-55.9,2,0.8448961
00:01:42,-34.3,-136.1,-55.9,2,0.8952495
00:01:47,-34.3,-136.1,-55.9,2,0.946354
00:01:52,-34.3,-136.1,-55.9,2,0.9966918
00:01:57,23.2397,-126.5831,-47.92756,2,0.9101074
00:02:02,91.09225,-140.6134,-34.40804,2,0.8093495
00:02:07,145.8809,-170.3262,-17.93958,2,0.7073269
00:02:12,180.091,-104.7371,-2.604008,2,0.6073487
00:02:17,239.7036,-102.9189,24.51707,2,0.5033044
