TimeString,X,Y,Z,Speed,BatteryStatus
00:00:05,-83.72485,-68.61453,-3.637135,2,0.8499828
00:00:10,-45.45143,-116.7435,-42.06649,2,0.6999652
00:00:15,15.3177,-127.3037,-47.0061,2,0.5497367
00:00:20,84.3148,-137.5647,-34.29455,2,0.3997079
00:00:25,139.9214,-179.2,-18.13747,2,0.26522
00:00:30,139.9214,-179.2,-18.13747,2,0.3152266
00:00:35,139.9214,-179.2,-18.13747,2,0.3665913
00:00:40,139.9214,-179.2,-18.13747,2,0.4179736
00:00:45,139.9214,-179.2,-18.13747,2,0.4691267
00:00:50,139.9214,-179.2,-18.13747,2,0.5190322
00:00:55,139.9214,-179.2,-18.13747,2,0.5698631
00:01:00,139.9214,-179.2,-18.13747,2,0.6201109
00:01:05,139.9214,-179.2,-18.13747,2,0.6707308
00:01:10,139.9214,-179.2,-18.13747,2,0.7214359
00:01:15,139.9214,-179.2,-18.13747,2,0.7721007
00:01:20,139.9214,-179.2,-18.13747,2,0.8231511
00:01:25,139.9214,-179.2,-18.13747,2,0.8758835
00:01:30,139.9214,-179.2,-18.13747,2,0.9265636
00:01:35,139.9214,-179.2,-18.13747,2,0.9769673
00:01:41,153.9125,-151.3442,-12.14744,2,0.9551975
00:01:46,193.5017,-95.37549,5.661776,2,0.8520729
