TimeString,X,Y,Z,Speed,BatteryStatus,Node,Edge
00:00:05,-82.21764,-68.4181,-8.161152,2,0.8453089,Node (6),Edge (10)
00:00:10,-43.09991,-120.3412,-47.20266,2,0.6896201,Node (6),Edge (10)
00:00:15,18.45692,-127.1913,-48.59024,2,0.5386004,Node (2),Edge (2)
00:00:20,87.48196,-138.053,-35.45705,2,0.3860428,Node (2),Edge (2)
00:00:25,142.4,-179.2,-19.5,2,0.2462425,Node (3),-
00:00:30,142.4,-179.2,-19.5,2,0.2953225,Node (3),-
00:00:35,142.4,-179.2,-19.5,2,0.3451945,Node (3),-
00:00:40,142.4,-179.2,-19.5,2,0.3954587,Node (3),-
00:00:45,142.4,-179.2,-19.5,2,0.4458511,Node (3),-
00:00:50,142.4,-179.2,-19.5,2,0.4957505,Node (3),-
00:00:55,142.4,-179.2,-19.5,2,0.5473872,Node (3),-
00:01:01,142.4,-179.2,-19.5,2,0.5994594,Node (3),-
00:01:06,142.4,-179.2,-19.5,2,0.650856,Node (3),-
00:01:11,142.4,-179.2,-19.5,2,0.7033693,Node (3),-
00:01:16,142.4,-179.2,-19.5,2,0.7540289,Node (3),-
00:01:21,142.4,-179.2,-19.5,2,0.8049856,Node (3),-
00:01:26,142.4,-179.2,-19.5,2,0.8564057,Node (3),-
00:01:31,142.4,-179.2,-19.5,2,0.9080408,Node (3),-
00:01:37,142.4,-179.2,-19.5,2,0.9595612,Node (3),-
00:01:42,145.6445,-172.8154,-18.04557,2,0.9888408,Node (3),Edge (9)
00:01:47,180.9081,-103.4232,-2.237764,2,0.8827096,Node (3),Edge (9)
00:01:52,200.3231,-96.09811,6.572293,2,0.7772205,Node (3),Edge (9)
00:01:58,242.5371,-103.4096,25.80824,2,0.6729464,Node (3),Edge (9)
