TimeString,X,Y,Z,Speed,BatteryStatus,Node,Edge
00:00:05,-85.04471,-68.4181,-8.073471,2,0.8453089,Node (6),Edge (10)
00:00:10,-45.92828,-120.3412,-47.21923,2,0.6896201,Node (6),Edge (10)
00:00:15,16.75034,-127.1913,-50.8458,2,0.5386004,Node (2),Edge (2)
00:00:20,86.11943,-138.053,-37.93567,2,0.3860428,Node (2),Edge (2)
00:00:25,143.7625,-179.2,-17.02139,2,0.2439503,Node (3),-
00:00:30,143.7625,-179.2,-17.02139,2,0.2939524,Node (3),-
00:00:35,143.7625,-179.2,-17.02139,2,0.344124,Node (3),-
00:00:40,143.7625,-179.2,-17.02139,2,0.3943929,Node (3),-
00:00:45,143.7625,-179.2,-17.02139,2,0.4443987,Node (3),-
00:00:50,143.7625,-179.2,-17.02139,2,0.4944346,Node (3),-
00:00:55,143.7625,-179.2,-17.02139,2,0.5457547,Node (3),-
00:01:01,143.7625,-179.2,-17.02139,2,0.5971685,Node (3),-
00:01:06,143.7625,-179.2,-17.02139,2,0.6485143,Node (3),-
00:01:11,143.7625,-179.2,-17.02139,2,0.7007523,Node (3),-
00:01:16,143.7625,-179.2,-17.02139,2,0.7517656,Node (3),-
00:01:21,143.7625,-179.2,-17.02139,2,0.8026503,Node (3),-
00:01:26,143.7625,-179.2,-17.02139,2,0.8539404,Node (3),-
00:01:31,143.7625,-179.2,-17.02139,2,0.9057218,Node (3),-
00:01:37,143.7625,-179.2,-17.02139,2,0.9572006,Node (3),-
00:01:42,144.6376,-172.8154,-20.6887,2,0.9902562,Node (3),Edge (9)
00:01:47,179.9012,-103.4232,-4.880895,2,0.8843532,Node (3),Edge (9)
00:01:52,199.3325,-96.09811,3.923024,2,0.7789286,Node (3),Edge (9)
00:01:58,243.5277,-103.4096,28.4575,2,0.6753229,Node (3),Edge (9)
